molecule_chembl_id,canonical_smiles,standard_value,standard_units,molecule_pref_name
CHEMBL26641,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCNCC1,40.0,nM,
CHEMBL279459,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCNCC1,15.0,nM,
CHEMBL1202473,COc1cc2c(Nc3cc(O)c(C)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,7.0,nM,
CHEMBL25425,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1,55.0,nM,
CHEMBL286160,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,7.0,nM,
CHEMBL2448066,COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,8.0,nM,
CHEMBL1202478,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,8.0,nM,
CHEMBL67268,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3O)cc1)cn2C1CCCC1,90.0,nM,
CHEMBL70034,CC(C)n1cc(-c2ccc(Oc3ccc(CO)cc3)cc2)c2c(N)ncnc21,29.0,nM,
CHEMBL69068,CC(C)(C)n1cc(-c2ccc(Oc3ccc(N)cc3)cc2)c2c(N)ncnc21,900.0,nM,
CHEMBL304113,CC(C)n1cc(-c2ccc(Oc3ccccc3[N+](=O)[O-])cc2)c2c(N)ncnc21,900.0,nM,
CHEMBL71541,CC(C)n1cc(-c2ccc(Oc3ccccc3CO)cc2)c2c(N)ncnc21,144.0,nM,
CHEMBL433097,CC(C)(C)n1cc(-c2ccc(Oc3cccc(N)c3)cc2)c2c(N)ncnc21,400.0,nM,
CHEMBL71722,CC(C)n1cc(-c2ccc(Oc3ccccc3C#N)cc2)c2c(N)ncnc21,161.0,nM,
CHEMBL66102,COc1ccccc1Oc1ccc(-c2cn(C3CCCC3)c3ncnc(N)c23)cc1,500.0,nM,
CHEMBL68082,NCc1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,677.0,nM,
CHEMBL307982,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,430.0,nM,
CHEMBL71985,CC(C)n1cc(-c2ccc(Oc3ccc(C#N)cc3)cc2)c2c(N)ncnc21,129.0,nM,
CHEMBL94678,COC(=O)[C@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,19.0,nM,
CHEMBL281948,COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,43.0,nM,K-252A
CHEMBL58224,O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCOC2=O,490.0,nM,
CHEMBL258805,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,130.0,nM,SU-9516
CHEMBL435227,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(C(=O)O)cc21,240.0,nM,
CHEMBL147761,Cc1c[nH]c(/C=C2\C(=O)Nc3cccc(C)c32)c1CCC(=O)O,200.0,nM,
CHEMBL147761,Cc1c[nH]c(/C=C2\C(=O)Nc3cccc(C)c32)c1CCC(=O)O,100.0,nM,
CHEMBL450622,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C)c2CCC(=O)O)c1,610.0,nM,
CHEMBL274654,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,410.0,nM,ORANTINIB
CHEMBL357803,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c(C)c1CCC(=O)O,70.0,nM,
CHEMBL146697,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(S(N)(=O)=O)cc21,920.0,nM,
CHEMBL148514,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(CCC(=O)O)c2C)c1,90.0,nM,
CHEMBL148514,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(CCC(=O)O)c2C)c1,180.0,nM,
CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,700.0,nM,SEMAXANIB
CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,40.0,nM,SEMAXANIB
CHEMBL443296,CCOc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C)c2CCC(=O)O)c1,1000.0,nM,
CHEMBL443296,CCOc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C)c2CCC(=O)O)c1,460.0,nM,
CHEMBL149073,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)c(C)c1CCC(=O)O,70.0,nM,
CHEMBL148984,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(CCC(=O)O)c2C)cc1,450.0,nM,
CHEMBL347074,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2cc(-c3ccccc3)ccc21,300.0,nM,
CHEMBL347074,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2cc(-c3ccccc3)ccc21,810.0,nM,
CHEMBL89363,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,20.0,nM,
CHEMBL89363,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,50.0,nM,
CHEMBL344319,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccccc21,400.0,nM,
CHEMBL356245,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c(C)c(CCC(=O)O)c1C,670.0,nM,
CHEMBL150151,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)cc1,520.0,nM,
CHEMBL358728,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)c1,300.0,nM,
CHEMBL358728,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)c1,990.0,nM,
CHEMBL149201,Cc1[nH]c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)c(C)c1CCC(=O)O,140.0,nM,
CHEMBL148744,Cc1c[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1CCC(=O)O,350.0,nM,
CHEMBL148744,Cc1c[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1CCC(=O)O,40.0,nM,
CHEMBL147112,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]cc(CCC(=O)O)c1C,40.0,nM,
CHEMBL46694,CC(=O)N1CCN(Cc2cc(C)cc(Nc3nccc(-n4ccnc4-c4ccccc4)n3)c2)CC1,32.0,nM,
CHEMBL45752,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,6.0,nM,
CHEMBL297769,Cc1cc(CO)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,9.0,nM,
CHEMBL297012,COc1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1,392.0,nM,
CHEMBL45388,Clc1cc(Cl)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,26.0,nM,
CHEMBL45015,Cc1cc(C)cc(Nc2nccc(-n3ccnc3Cl)n2)c1,60.0,nM,
CHEMBL295679,c1ccc(-c2nccn2-c2ccnc(Nc3cccnc3)n2)cc1,340.0,nM,
CHEMBL295973,Cc1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1,279.0,nM,
CHEMBL295247,Cc1cc(C)cc(Nc2nccc(-n3cc(C)nc3-c3ccccc3)n2)c1,450.0,nM,
CHEMBL47832,Cc1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,18.0,nM,
CHEMBL44915,Cc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(C(F)(F)F)c1,5.0,nM,
CHEMBL297675,COc1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,20.0,nM,
CHEMBL45389,Clc1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,25.0,nM,
CHEMBL296475,Cc1cc(C)cc(Nc2nccc(-n3ccnc3C#N)n2)c1,232.0,nM,
CHEMBL47852,COc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(OC)c1,5.0,nM,
CHEMBL445327,Cc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)ccn1,276.5,nM,
CHEMBL45750,COc1ccccc1Nc1nccc(-n2ccnc2-c2ccccc2)n1,289.0,nM,
CHEMBL45214,c1ccc(-c2nccn2-c2ccnc(Nc3ccncc3)n2)cc1,273.0,nM,
CHEMBL47965,Cc1cc(C)cc(Nc2nccc(-n3ccnc3C)n2)c1,765.0,nM,
CHEMBL296430,FC(F)(F)c1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(C(F)(F)F)c1,77.0,nM,
CHEMBL44608,FC(F)(F)c1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,10.0,nM,
CHEMBL431930,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3cccc(F)c3)n2)c1,45.0,nM,
CHEMBL295816,Cc1cc(C)cc(Nc2cc(-n3ccnc3-c3ccccc3)ccn2)c1,892.0,nM,
CHEMBL43949,c1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1,105.0,nM,
CHEMBL47166,Cc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(C)n1,135.0,nM,
CHEMBL47962,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3cncnc3)n2)c1,149.0,nM,
CHEMBL352308,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO,83.0,nM,
CHEMBL293712,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(C)CC1)CCCC3)C(=O)N2,300.0,nM,
CHEMBL291759,CCOC(=O)CN1CCN(CCCc2c(/C=C3\C(=O)Nc4ccc(S(=O)(=O)NC)cc43)[nH]c3c2CCCC3)CC1,500.0,nM,
CHEMBL268731,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCc1ccncc1,160.0,nM,
CHEMBL56109,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(CCO)CC1)CCCC3)C(=O)N2,400.0,nM,
CHEMBL56569,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(N)=O)CCCC3)C(=O)N2,500.0,nM,
CHEMBL367442,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccc(CO)cc1,600.0,nM,
CHEMBL430155,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCCN1CCN(C)CC1,300.0,nM,
CHEMBL13354,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCOCC1,90.0,nM,
CHEMBL176705,COc1ccc(-c2cn(-c3ccccc3)c3ncnc(N)c23)cc1,200.0,nM,
CHEMBL13485,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C,27.0,nM,SU-11652
CHEMBL176309,Nc1ncnc2c1c(-c1cccc(Cl)c1)cn2-c1ccccc1,1000.0,nM,
CHEMBL267293,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCn1cncn1,85.0,nM,
CHEMBL292930,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(CC(=O)O)CC1)CCCC3)C(=O)N2,400.0,nM,
CHEMBL13629,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1C,32.0,nM,
CHEMBL13608,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1,60.0,nM,TOCERANIB
CHEMBL172973,COc1cccc(-c2cn(-c3ccccc3)c3ncnc(N)c23)c1,1000.0,nM,
CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,1000.0,nM,
CHEMBL300853,CCS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(CC(=O)O)CC1)CCCC3)C(=O)N2,800.0,nM,
CHEMBL57143,CCS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(CCO)CC1)CCCC3)C(=O)N2,400.0,nM,
CHEMBL175409,COc1cccc(-c2cn(-c3ccc(CC(=O)NCCO)cc3)c3ncnc(N)c23)c1,1000.0,nM,
CHEMBL13983,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,25.0,nM,
CHEMBL176815,COc1cccc(-c2cn(-c3cccc(CO)c3)c3ncnc(N)c23)c1,1000.0,nM,
CHEMBL424375,COc1cccc(-c2cn(-c3ccc(CNCCO)cc3)c3ncnc(N)c23)c1,1000.0,nM,
CHEMBL13976,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN(C)C,80.0,nM,
